duration_minutes,total_messages,secretary_messages,patient_messages,num_interactions,agendamento_keywords,preco_keywords,audio_media_messages,patient_questions,secretary_questions,chat_type
67815.26666666666,186,81,105,103,43,9,3,23,44,success
127418.03333333334,310,141,169,170,76,10,13,25,63,success
41813.01666666667,126,74,52,83,64,11,0,13,37,success
47739.23333333333,58,32,26,38,41,8,1,8,20,success
1588.9666666666667,36,22,14,24,21,8,0,1,12,success
93802.28333333334,109,57,52,63,54,4,1,21,31,success
19219.35,112,55,57,59,35,7,2,5,23,success
983.45,22,11,11,14,11,4,0,0,6,fail
18.266666666666666,5,2,3,2,2,0,0,0,2,fail
290912.75,55,24,31,32,30,8,0,4,20,fail
1203.55,17,9,8,8,11,6,0,2,4,fail
2182.6666666666665,17,10,7,10,12,6,0,1,6,fail
1331.8166666666666,14,8,6,10,12,5,0,1,4,fail
28959.816666666666,29,12,17,20,18,6,0,3,10,fail
1465.4166666666667,13,6,7,8,6,0,0,0,3,fail
